qnorm.02,Pol_TSS_02,Pol_gb_02,Pol_TE1K_02,Pol_TE2K_02,Pol_TE3K_02,Pol_TE4K_02,Pol_TE5K_02,ZT2
48.4420614135871,11.9,1.76,4.261,5.701,3.657,1.119,1.154,9.983583
37.9142969276077,2.4,1.26,0.415,0.8663,0.835,0.934591,0.641,6.0699755
76.7182372186728,1.2,1.32,0.997,1.076,1.249,0.9,1.344002,6.58452
46.7628338660334,2,1.06,0.755,0.459,0.375,0.72,0.66275,6.4599635
56.7275467443157,0.8,0.56,0.64,0.196,1.228,0.897,0.996,6.8881785
35.0509556359983,2.2,2.18,3.079,2.32,1.68,2.008,1.621,7.9532805
37.495206277301,12.4,1.97,2.858,1.43,1.267,0.8115,0.595,8.881185
37.7769570228509,5.9,0.54,0.825,0.15,1.054,1.251,0.95975,5.978447
20.5553138363886,15.9,6.34,5.42107,9.142194,6.49,0.525,0.725,12.104905
47.4444365199385,4.5,2.59,3.122,1.776,4.257,4.249,3.382,7.581781
23.4965698201037,18.5,17.07,14.376,24.2845,22.244,17.645148,22.335,12.07006
44.4452106592797,1.2,0.87,1.777,2.498,0.9,0.621,0.949,5.0676245
30.8532869298411,31.2,11.8,13.769086,12.458246,22.683,12.765,19.393172,9.7973645
41.2411556314833,5.7,1.54,3.388,3.13,2.704,1.361,0.51,7.848826
41.9012421941479,11.4,5.1,17.639,17.122,8.57,21.528,1.197,11.780725
20.3989471803026,5,0.89,1.35,0.559,0.896,0.696,1.054,7.2433675
28.3981351677817,18.9,10.7,19.843,16.802,16.3835,16.91,15.353,12.01034
46.4814184205486,1.4,1.11,1.148,0.735,0.765,0.818,1.017,6.790382
27.2726478873723,13.7,5.01,8.262309,3.667,3.716,3.236747,3.134,8.1364975
46.5385889656391,11.3,2.28,2.05506993007,2.223,4.608,3.157,4.013,8.630679
39.4854270871157,10.6,2.04,2.758,5.256,3.915,3.365,2.503,8.1905785
105.417188940234,55.5,15.68,84.3625,97.644141,91.103,53.036,10.907,11.156245
31.2127457178686,14.8,3.01,0.971,2.4,2.381,3.659,4.497,10.07909
58.3188275364706,3,0.28,0.825,2.1,2.21,1.793,2.237,8.0519875
65.9977529659862,9.2,2.07,3.606,4.97745,5.132,1.804,2.292,8.996127
37.2561156820037,12,1.11,1.565,4.722,1.645,1.414,1.754,7.9542705
62.2468795962464,1.7,7.84,15.893557,4.588445,3.802,1.87532,2.534394,6.200074
24.2681078877274,14.6,8.46,20.152,27.7825,8.642,10.159,6.641,12.432395
38.5329280944295,1.4,1.69,1.672,2.364,4.281747,4.522,5.308,11.402855
26.3746527038625,27.4,20.33,25.867647058824,23.145,26.743,19.912,9.741,12.024955
